Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
17551,6022,42,11529,10717,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17756,5950,34,11807,11069,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17248,6031,34,11216,10481,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17141,5719,34,11422,10665,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17646,6183,46,11464,10643,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18063,6068,46,11994,11246,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17278,6100,39,11177,10433,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15102,5833,35,9269,8964,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17129,5951,31,11179,10361,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17112,6163,48,10949,10137,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18122,6175,30,11947,11209,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17046,5811,33,11235,10498,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15450,5817,42,9632,9294,1,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17468,6244,44,11223,10397,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7615,5654,31,1961,1835,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
7897,5782,42,2116,2007,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17909,5770,47,12140,11182,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17435,5667,47,11767,10947,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17219,6082,46,11134,10313,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18485,6325,48,12160,11329,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16569,6037,117,10532,10128,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17877,5591,44,12285,11467,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17409,5680,45,11729,10912,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
